,Title,Poem,Poet,Tags
121,"
                    The Hastily Assembled Angel Considers the Kingdoms of Dogs and of People
                ","
The hastily assembled angel wanders 
And has      through cities centuries of  cities 
And countries and millennia of  cities 
And countries and of  women and of men      there’s  
No hurry now though he was hurriedly 
Once brought to being      and bears the scars of  that 
Though slowly      in the Earth      though slowly he 
Eventually began to wonder what  
The hurry had been for      and if  he could 
Have been a better angel or have done 
Better the job he did if once 
They’d made him the      other angels had allowed  
Him to meet God      for he has been uncertain 
As people are uncertain he has nev- 
er been as certain      as dogs are      who sniff 
The wind that moves the curtain      and see behind the curtain
",Shane McCrae,"Living,The Mind,Religion,God & the Divine,The Spiritual"
122,"
                    The Hastily Assembled Angel Falls at the Beginning of the World
                ","
Except most things weren’t clouds      everything there 
Was clouds      the hastily assembled angel 
Before he knew the word      clouds was the last word 
He heard the other angels shouting as 
They shoved him      though he after he had fallen 
Too far to hear them he      saw their mouths mak- 
ing shapes that were not clouds      and when he saw that 
Thought That’s      something that isn’t clouds that      shouting   After I’ve fallen too far to hear them don’t  They know      I’ve fallen too far to hear them now   Or are we not together now before 
He knew the word      in those few minutes the oth- 
er angels were assembling him      he named 
The things he saw with words that seemed to fit them 
Nothing was heavenly a few things were  Ocean and hole and monkeyapple he 
Before the other angels shoved him      had 
Started combining words      but nobody 
Would name the things he saw the way he named them 
And to the other angels all his naming 
Was noise they shouted      as they shoved him It’s  All clouds      what difference could it make      to the angel 
Built to monitor the Earth      from the surface 
Of  the Earth      what was or wasn’t true in Heaven 
They shoved him then      they stared and then they shouted 
After the disappearing figure all 
The things they suddenly remembered      they had 
Forgotten to tell him      as they were hammer- 
ing him together as they hammered him 
Together and behind them      but above 
Behind      a pinkish light that was or was- 
n’t God pulsed      like the heart of  one of  the creatures 
God hadn’t yet created though the angels 
Had seen the creatures coming in the waves 
Then covering the Earth      the angels had 
Seen them      and didn’t want to be assigned 
To live with them      and so had voted to 
Build their own angel but they didn’t ask 
Permission first instead they built him quick- 
ly      and as Gabriel asked God      if  this 
New angel could be sent instead to Earth 
Fresh      eyes for a fresh world the other angels 
Shoved him the hastily assembled angel 
From the cloud and Heaven      he      the hastily 
Assembled angel could see      farther than 
The other angels though he couldn’t under- 
stand what he saw as well      as the other angels 
Might have      and as he fell he saw their mouths mak- 
ing shapes he saw the light behind them      pulsing 
And as he fell he watched the clouds becoming 
Abstract      as any other angel would 
From Heaven watch a species go extinct 
Even as dry land emerged from the waves below him
",Shane McCrae,"Religion,God & the Divine,The Spiritual,Arts & Sciences,Language & Linguistics"
123,"
                    The Wings of the Hastily Assembled Angel
                ","
The hastily assembled angel flies 
With patchwork wings red patches and white patches 
And yellow patches blood and emptiness 
And sun and usually      an angel’s wings would 
Be made of  only one of  these      but his 
Were made at the last minute and were almost 
Not made at all and wouldn’t have been made 
Had Azrael not seen      in the hastily 
Assembled angel’s eyes as Azrael 
Placed his white palm on the hastily assembled 
Angel’s chest fear      as Azrael placed his palm there 
To shove him from the cloud      and saw he had 
No wings      and paused and thought      then pulled him back 
And so the angels stitched together what was 
Near      blood      emptiness      sun      as what was near 
Was Heaven      and what else would Heaven be
",Shane McCrae,"Living,The Body,Religion,The Spiritual"
124,"
                    Not for Him the Fiery Lake of the False Prophet
                ","



When Mexico sends its people, they’re not sending their best.... They’re bringing drugs. They’re bringing crime. They’re rapists.
— Donald Trump, June 16, 2015



They woke him up by pissing in his face. He opened his mouth
to scream in Spanish, so his mouth became a urinal at the ballpark. 
Scott and Steve: the Leader brothers, celebrating a night at Fenway,
where the Sox beat the Indians and a rookie named Rodríguez spun
the seams on his changeup to hypnotize the Tribe. Later that night,
Steve urinated on the door of his cell, and Scott told the cops why
they did it: Donald Trump was right. All these illegals need to be deported. 
He was a Mexican in a sleeping bag outside JFK station on a night
in August, so they called him a wetback and emptied their bladders
in his hair. In court, the lawyers spoke his name: Guillermo Rodríguez,
immigrant with papers, crop-picker in the fields, trader of bottles
and cans collected in his cart. Two strangers squashed the cartilage
in his nose like a can drained of beer. In dreams, he would remember
the shoes digging into his ribcage, the pole raked repeatedly across
his cheekbones and upraised knuckles, the high-five over his body.  Donald Trump was right, said Scott. And Trump said: The people
that are following me are very passionate",Martín Espada,"Social Commentaries,Crime & Punishment,History & Politics,Race & Ethnicity"
125,"
                    Flan
                ","



For  Jack Agüeros (1934–2014)



I was eight when the blackout struck and the lights died all across the city
like a massacre of fireflies. In the projects of Brooklyn, I steered myself
to 14F, fingers spread against the cool tiles of the hallway, past the concrete
and chicken-wire terrace where I once burnt ants with a magnifying glass. 
Many years later, at the Chinese restaurant uptown, Jack said: They got  any flan here? He was my first poet. I had seen the fireflies in his sonnets
blink and float away: Fulano the philosopher in the unemployment line;
Blanco the painter, painting in the madhouse; Monterosa the dealer killed
by shotgun in a bar on Avenue A; his mother the seamstress and the quick
needle of her sewing machine; Jack the moving man, his hands sliced raw.
He stacked his apartment with dictionaries in three languages. I knew
the raconteur’s grin with every tale: Raúl Juliá is a friend of mine: a Puerto Rican playing Macbeth. He took 14 curtain calls on opening night. 
Maybe he would tell me now that flan was not Puerto Rican, or Mexican,
or Spanish, but Chinese, invented by a trembling cook to satisfy the palate
of an emperor in the Ming Dynasty. No flan, Jack, I said. This is a Chinese  restaurant. Two minutes later, he said: They got any flan? I showed him
the dog-eared and fingerprinted menu. No flan, I said. When the waiter
unfurled his pad, Jack said to him: You got flan? He sang this song for an hour.
The egg roll was not flan. The fried rice was not flan. The fortune cookie
was not flan. Can we get some flan? he said. Goddammit, Jack, I said. 
The poets crowded into the bar, striding to the mic. Jack stood with poem
in hand, read the title, tilted his head and said it again, studied the page
as if the words shriveled up like ants burnt under a magnifying glass,
then sat down. I witnessed the massacre of fireflies. A few of us clapped,
not knowing what to do with our hands, staring at the sonneteer who lost
all his quatrains and couplets in the denim jacket he left on the subway,
the words of Fulano still waiting on the unemployment line: The faster  you spin, the stiller you look. / There’s something to learn in that, but what? 
After the diagnosis, I handed Jack a book of poems. He dangled the book
upside down like a stiff mouse by the tail, something we would sniff  behind
the refrigerator. I wanted sonnets. Jack kept singing the chorus of a song: Get me to the church. Get me to the church. Get me to the church on time.  
At the end, I leaned over Jack’s bed to read his own poem in his ear, but some
words come home after the blackout, fingers crawling on the wall. I know
what I should have said at the Chinese restaurant: Jack, let’s get some flan.
We should have braved the subway at rush hour, straphangers rocking
all the way to 14th Street and 8th Avenue, to La Taza de Oro, gone now
like Jack, for rice and beans, squid in its own ink, café con leche y flan,
Jack: a spoonful of flan for you after all the years of sonnets and bread
for me, the steam rising when your hands cracked the crust at the table.
",Martín Espada,"Living,Death,Health & Illness,Activities,Eating & Drinking,Arts & Sciences,Poetry & Poets,Social Commentaries,Race & Ethnicity"
126,"
                    Aubade with Concussion
                ","



Poverty is black ice.
— Naomi Ayala



You leave me sleeping in the dark. You kiss me and I stir,
fingers in your hair, eyes open, unseeing. You leave me asleep
every morning, commuting to the school in the city at sunrise. 
The landlord’s driveway, a muddy creek, ices over hard after
the freezing rain clatters all night. Your feet fly up, your head
slamming the ground, an eclipse of the sun flooding your eyes.
You sleep under the car. No one knows how long you sleep. 
You awake with a hundred ice picks stabbing your eardrums.
You awake, coat and hair soaked, and somehow drive to school.
You remember to turn left at the Smith & Wesson factory.
The other teachers lead you by the elbow to Mercy Hospital,
where you pause when the nurse asks your name, where you claim
your pain level is a four, and they slide you into the white coffin
of an MRI machine. You hold your breath. They film your brain.  Concussion: the word we use for the boxer plunging face-first
to the canvas after the uppercut blindsided him, not the teacher
commuting to school at sunrise in a Subaru Crosstrek. Yet, you would
drive, ears hammering as they hammer in the purgatory of the MRI. 
A week before, Isabela came to you in the classroom and said: Miss, I cannot sleep. Three days, I cannot sleep. Her boyfriend called
at 2 am, and she did not pick up. At 3 am, a single shot to the head
put him to sleep, and he will sleep forever, his body hidden beneath
a car in a parking lot on Maple Street, the cops, the television cameras,
the neighbors all gathering at the yellow-tape carnival of his corpse. 
You said to Isabela: Take this journal. Write it down. You don’t have to show me. You don’t have to show anyone. On the cover of the journal
you bought at the drugstore was the word: Dream. Isabela sat there
in your classroom, at your desk, pencil waving in furious circles.
By lunchtime, as her friends slapped each other, Isabela slept,
head on the desk, face pressed against the pages of the journal. 
This is why I watch you sleep at 3 am, when the sleeping pills fail
to quell the strike meeting in my brain. This is why I say to you,
when you kiss me in my sleep: Don’t go. Don’t go. You have to go.
",Martín Espada,"Living,Death,Health & Illness,Love,Romantic Love,Activities,School & Learning,Social Commentaries,Crime & Punishment,History & Politics,Money & Economics"
127,"
                    Standing on the Bridge at Dolceacqua
                ","



My only love sprung  from my only hate!
— Romeo and Juliet, Act I, Scene v



At forty, I studied the mirror. I poked my mouth to free a trapped grain
of hamburger, and a tooth broke off  between my fingers. I felt nothing.
The dentist said: The tooth is dead. The root is dead. The X-rays show signs
of trauma to the lower jaw. What happened here?",Martín Espada,"Living,Growing Old,The Body,Youth,Love,Romantic Love,Activities,School & Learning,Relationships,Friends & Enemies,Social Commentaries,Race & Ethnicity"
128,"
                    The Assassination of the Landlord’s Purple Vintage 1976 Monte Carlo
                ","
The landlord says we have to go. On the night the thermostat read seventeen
below zero, and there was no heat on the first floor, the Massachusetts State
Sanitary Code appeared in the landlord’s in-box like a spirit tapping bony
knuckles on his window, and a letter appeared in the landlord’s in-box
like a spirit scratching the words no rent in the frost on his window,
and the landlord’s mouth foamed as if he’d swallowed detergent,
and the foam froze on his beard, and the landlord’s plumber laid
twenty-four feet of baseboard on the first floor, and now we have to go. 
The landlord keeps his purple vintage 1976 Monte Carlo parked at the edge
of the driveway, purple inside and out, paint job and upholstery purple,
the color of emperors. The mad emperor Caligula assassinated his cousin,
jealous of his purple cloak, and the mad emperor’s mouth foamed
as if he’d swallowed detergent, and the foam froze on his beard. 
The neighbors report a moose sighting today. The moose charges from the woods,
mad as an emperor jealous of a purple cloak, sees the purple vintage
1976 Monte Carlo as another moose, and rams Caligula’s chariot with
his bristling antlers, kicking the car the way a teenager high on detergent
T-boned my leased Toyota Corolla two weeks ago, and so the moose claims
his territory, this land without a gas station or a movie theater or a pizza joint
or a doctor’s office, and gallops back into the woods, snorting foam. 
Now come the hunters tracking the moose, crossbows bristling since crossbow
season is upon us, their vision blurred by a night of Red Bull and detergent,
and see the purple vintage 1976 Monte Carlo as a moose, firing volley
after volley of arrows into the windshield, and the talisman of the air freshener
hanging from the rearview mirror does not keep the glass from exploding,
and the jumper cables coiled in the back seat do not rise magically like electric
eels, and the hunters explode in a cry of huzzah, waving their crossbows
as if their arrows thumped the hump of Richard the hunchback king. 
The purple vintage 1976 Monte Carlo is a dead moose, tow truck dragging
away the carcass to a round of applause in my brain. The landlord will snort
and foam, demanding to know why there is nothing left but his mutilated
vanity plate stamped with the year 1976, and I will speak to him in Brooklynese,
palms turned upward in the universal gesture of the uncooperative witness.
He will keep my security deposit, his territory without a gas station
or a movie theater or a pizza joint or a doctor’s office. I say huzzah.
",Martín Espada,"Nature,Animals,Social Commentaries,Money & Economics"
129,"
                    Jumping Off the Mystic Tobin Bridge
                ","
I close my eyes and see him windmilling his arms as he plummets from
the Mystic Tobin Bridge, to prove me wrong, to show me he was good,
to atone for sins like seeds in the lopsided apple of his heart, but mostly
to escape from me in the back of his cab, a Puerto Rican lawyer in a suit and tie. 
I hated the 111 bus, sweltering in my suit and tie with the crowd in the aisle,
waiting to hit a bump on the Mystic Tobin Bridge so my head would finally
burst through the ceiling like a giraffe on a circus train. I hated the 111 bus
after eviction day in Chelsea District Court, translating the landlords and judges
into Spanish so the tenants knew they had to stuff their clothing into garbage
bags and steal away again, away from the 40-watt squint that followed them
everywhere, that followed me because I stood beside them in court. I would
daydream in the humidity of the bus, a basketball hero, flipping the balled-up
pages of the law into the wastebasket at the office as the legal aid lawyers
chanted my name. I hated the 111 bus. I had to take a taxicab that day.  What the hell you doing here? said the driver of the cab to me in my suit
and tie. You gotta be careful in this neighborhood. There’s a lotta Josés around here. The driver’s great-grandfather staggered off a boat so his
great-grandson could one day drive me across the Mystic Tobin Bridge,
but there was no room in the taxi for chalk and a blackboard. He could
hear the sawing of my breath as I leaned into his ear, past the bulletproof
barricade somehow missing, and said: I’m a José. I could see the 40-watt
squint in his rearview mirror. I’m Puerto Rican, I said. It was exactly
5 pm, and we were stuck in traffic in a taxi on the Mystic Tobin Bridge. 
The driver stammered his own West Side Story without the ballet,
how a Puerto Rican gang stole his cousin’s wallet years ago. You think
I’m gonna rob you?",Martín Espada,"Activities,Jobs & Working,Social Commentaries,History & Politics,Money & Economics,Race & Ethnicity"
130,"
                    From “Under the Knife”
                ","

 
 
I didn’t want one child. I wanted a thousand. Because though you may try, you can’t kill all of them. My body couldn’t birth a thousand, so I didn’t even bring one here. I let you have them. One by one, and
 
 

 
 
I had my first surgery when I was eighteen. No, seven. No. I had my first surgery when I was thirty-five. No, when I was forty-seven. I almost had my first surgery today. The doctor drew an all-seeing eye around my wound to diagram the length and width of the scar with a purple magic marker. To be honest, I had my first surgery when they pulled me deadfirst headfirst from between my mother’s thighs. But I don’t remember that one; the separation of my flesh from the source of all I’d known. Muddy vessel, crumbling temple.
This carved body, overgrown garden, nest of the narcotic.
 
 

 
 
My first ten years were mostly marked by my relentless pursuit to not look pregnant when I went out in public. One of my goals each day was to not have someone ask me in public — hopeful look in their gesturing gaze, so excited by the prospect of a coming Christmas
miracle,
“Are you    ...?”
and to have to shatter their hopes of Dream Baby, and simultaneously begin the Emotional Labor of soothing their embarrassment after hearing, “No.” Because a woman with a swollen or distended abdomen can only mean one thing. And that thing is always joyous and awaited with excited anticipation. A woman with a distended abdomen couldn’t possibly be dealing on the daily with something gone terribly awry. Couldn’t possibly be engaged in an ongoing war for her body, a custody battle for her own self. A woman’s swollen belly is everybody’s Good News, everybody’s Business.
So that’s how I spent five years in my thirties: running around evading expectations my deceptive uterus induced in family, friends, and rank fucking strangers.
 
 

 
 
What they took from me:
What they scooped out of me:
What they carved from out of me:
What they excavated from me:
What they dug out of me:
What they released from me:
What they harvested from me:
What they pulled from me:
What they birthed from me:
 
          — a colony of tumors
          — an archive of NOs
          — a battalion of rogue dreams
          — an inheritance of heartbreaks
          — a lockbox of my foremothers’ molestations
          — a cedar chest of secrets
          — four generations of the miscarried and stillborn
          — a library of zeros
          — a ledger of names written in decimal points
          — my grandfather’s shriveled aspirations
          — a moldy cellar of witnessed whippings
          — a  jewelry box of swollen tongues
          — a Bible of abducted children
 
 

 
 
Everyone is invested in policing the Black body. Yes, even you. And there’s a particularly virulent investment in the surveillance and policing of the Black Woman (née “Female”) Body. In fact there are multiple systems, most of them economic, that hinge upon controlling, corralling, and commodifying the female body in general. Why do you suppose, in the Year of Our Lord Two Thousand and Seventeen, the ocean vomited up twenty-six dead Nigerian girls on the gorgeous Mediterranean coast?
 
Pussy and Blackness are two of the first moneymakers ever recorded. And if you got both, well then, you know what time it is, right?
 
 
 
[Bend over so I can swipe this credit card down your ass.]
 
 

 
 
What information is passed through a genetic line? What memories are housed in our cells? Are our memories the memories of some memories of some long-dead, unknown Ancestors along the line? What traumas do we carry that we picked up along the way, that were never ours to begin with?
",Krista Franklin,
131,"
                    The Jealous Minor Gods
                ","
I have hidden your lost teeth in the net of all my famous hair
And with foresight promised your umbilicus 
To several minor gods. I paid your fee in fawn skin
& the lightest fringe of tissue, all the quiet noons assembled, 
In yard stars & the light of phosphorescent pens,
The dioramas that it takes to fill lacunae, in ancestral knots 
That tell the story of our humble people: watchmakers,
Mainly, ventriloquists & scholars of quintessence, 
Amateur lifeguards I meant to surpass. How I loved
My green & distant futures! But I love you more 
From late Holocene out to the farthest buoy, unto
Blackmail & a verb that means renouncing Christ 
Or else describes the path of sap before it’s amber,
Before it dimples, just a little, to collect — 
",Amy Beeder,"Living,Parenthood,Relationships,Family & Ancestors,Religion,The Spiritual,Mythology & Folklore"
132,"
                    Sir Say Pray
                ","



After Thomas Hardy



The milkmaids say Pray for their speech is reserved, fixed here in circles of opalized light. 
Presenting themselves without fancy or choice chapped hands on the full udder’s verge, 
y’know — cream-skinned, gathering toad spume on skirts relentlessly cracking the snails underfoot — 
a century later & more their compeers bow heads to these luminous fields made of ether, 
of blue & extravagant air, calling up with the same nimble fingers their ciphered familiars, 
girl-souls at large in a nonhuman hour. Speaking their argot & screen-practiced moue. 
Not to you, with your paper, your man-heavy shoes, untouched by the mulch of the digital yard! 
They only gaze rapt at threshold, milk spilled. No purchase for you here, Sir, & no clue —
",Amy Beeder,"Living,Time & Brevity,Social Commentaries,Gender & Sexuality,History & Politics"
133,"
                    With a Court of Flies Attendant
                ","



It burns up all the grass too, and breaks the stones, so tremendous is its noxious influence.
— Pliny the Elder, “Natural History”



On a blood- or honey-colored moon at midnight & no 60-watt abuzz. With
Sirius ascendant. From a dunghill’s punk egg hatched 
By toad or serpent. From cold gland & pillaged crib, from ruined sluice,
Bible comics & potshots at swallows. From the Ring of Fire, the Zipper, 
The Nighthawk with her victims taloned upside down. From pistis to gnosis
To the midway where they draw a bead on cardboard sheikhs. From no harvest. 
From no temperate father. From years borne down tainted water
& all we failed to mark in frequencies cranked up, from 
How laughing we cast our own forfeit. O well —
It’s cinch your boots up now, it’s shoulder to the wheel, it’s soldier on 
To lay coins on the fang marks & stand already spent,
Condemned for what we wrongly thought exhaustion. 
Comes now the bright arrival, comes the pageant rain of ashes:
The seal torn & tablets fixed but still impossible to read.
",Amy Beeder,"Living,Time & Brevity,Nature,Religion,The Spiritual"
134,"
                    For My Friend
                ","
Nothing
better
for people
than dogs
nothing better than ma
king
you scream
here. There were
two super
new cars
and then
some pink
chicken
filets
I guess
there were
berries
for sale
in Scandinavia
a man in
a plaid
shirt &
cookies
also they
are
working
in the ceme
tery
I can see
their blue
ladder
from here.
A man
has written
a book
about many
deaths
or many
things to do after.
Read it
read it
they say
but what
comes
after
is a small
idea. Now
is large
rainy.
Amy I wish
you luck
",Eileen Myles,"Relationships,Friends & Enemies"
135,"
                    When the Devil Leads Us Home and Yells Surprise
                ","
Is that your house he asked
This used to be my house I said 
But those are not your people
So that can’t be your house 
But it is my house I said
I had some people maybe a few 
Even though those are not your people
Even though they don’t look like you 
I had to live somewhere I said
This is the house where I lived 
But where are your people he said 
My people live in a different house
They don’t care to know about me 
If you’re the devil
Why are you asking me questions 
The devil said since the house
You had to live in is gone
I thought you’d be happy 
It sure is a hot day I said
Of course it is said the devil
Why do you think I work in town
",Nikki Wallschlaeger,"Living,Separation & Divorce,Relationships,Home Life,Religion,The Spiritual"
136,"
                    broke n rice
                ","
wit h bee f a nd veg gi es
b less ed wi th an e gg
sa ff ro n sul li ed c hil lin
w ith g arl ic or d irty n ot qu ite
re d bu ggin the bea ns
or jus t ri ce, wat er th e mi ra cl e
of sa lt t he gr a in s pr omi se
to pil lo w an d st retc h
i u sed to ha te r i ce
hat ed it h ated h ow
br oke it sou nde d rice rice rice a po cket
w ith thr ee co p per co ins
hu n ger s tamb our ine
i h ate d al l of it
h ated the w ate r
gh ostbl eac hed by sta rc h
hat ed th e p uff y mo on s
po ckin g my sto m a ch
lik e a si ck ne ss
end in g sic kn ess
hat ed ev eryth ing
th at i woul d mar ry no w l eg it wo uld
i wo uld m arry wa ter
coul d it hav e me
wi tho ut de adi ng me
i d m arry the m oon
cha nge my n ame
to it s ho ur
i wou ld w ed t he y o lk
go ld r ice stu ck
in th e yo lk yell ow tee th
of m y hom e girls w ere it n ot
alr eady jew els
mini ng th eir lau ghs
bl in ge d ou t li ke a do w ry shi nin
nex t to th e bi lls of m int bov ine rib bons co n fet t ied c ar rots
",Danez Smith,"Activities,Eating & Drinking,Social Commentaries,Money & Economics"
137,"
                    acknowledgments
                ","
you save me half a bag of skins, the hard parts, my fav, dusted orange with hot 
 
•  
you say we can’t go to the bar cause you’re taking your braids out
i come over, we watch madea while we pull you from you 
 
•  
you make us tacos with the shells i like & you don’t 
 
•  
i get too drunk at the party, you scoop my pizza from the sink with a solo cup, all that red 
 
•  
you, in the morning, bong water grin, wet chin 
 
•  
you, in the lawless dark, laughing like a room of women laugh
at a man who thinks his knowledge is knowledge 
 
•  
i text you & you say, i was bout to text you, bitch 
 
•  
you cook pork chops same way i do, our families in another city go to the same church 
 
•  
you, rolling a blunt, holding your son, is a mecca 
 
•  
you invite me out for drag queens on the nights i think of finally [ ] 
 
•  
you pull over in Mississippi so i can walk a road my grandfather bled on 
 
•  
you gave me a stone turtle, it held your palm’s scent for a week 
 
•  
i call your mama mama 
 
•  
you request like a demand, make me some of that mango cornbread
i cut the fruit, measure the honey 
 
•  
you & you & you & you go in on a dildo for my birthday
you name it drake, you know me 
 
•  
a year with you in that dirty house with that cracked-out cat was a good year 
 
•  
at the function, i feel myself splitting into too many rooms of static
you touch my hand & there i am 
 
•   do you want to be best friends?
a box for yes, a box for no 
 
•  
did our grandmothers flee the fields of embers so we could find each other here?
friend, you are the war’s gentle consequence 
 
•  
i am the prison that turns to rain in your hands 
 
•  
you, at my door the night my father leapt beyond what we know
you, dirt where i plant my light 
 
•  
the branches of silence are heavy with your sweet seed 
 
•  
you smell like the milk of whatever beast i am 
 
•  
your poop is news, your fart is news, your gross body my favorite song 
 
•  
you, drunk as an uncle, making all kinds of nonsense sense
i listen for the language between your words 
 
•  
& when we fight, not a ring, but a room with no exit
we spill the blood & bandage the wound, clean burns with our tongues 
 
•  
if luck calls your name, we split the pot
& if you wither, surely i rot 
 
•  
we hate the same people, we say nigga please with the same mouth 
 
•  
& before we were messy flesh, i’m sure we were the same dust 
 
•  
everywhere you are is a church, & i am the pastor, the deacons, the mothers fainting at the altar 
 
•  
as long as i am a fact to you, death can do with me what she wants 
 
•  
my body, water, your body, a trail of hands carrying the river to the sea 
 
•  
i ink your name into my arm to fasten what is already there 
 
•  
i would love you even if you killed god 
 
•  
you made coming out feel like coming in from the storm 
 
•  
you are the country i bloody the hills for 
 
•  
you love me despite the history of my hands, their mangled confession 
 
•  
at the end of the world, let there be you, my world 
 
•  
god bless you who screens all my nudes, drafts my break-up text 
 
•  
you are the drug that knocks the birds from my heart 
 
•  
ain’t no mountain, no valley, no river i wouldn’t give the hands for comin’ to you sideways 
 
•  
o the horrid friends who were just ships harboring me to you 
 
•  
& how many times have you loved me without my asking?
how often have i loved a thing because you loved it?
including me 
 
•  
& i always knew 
 
•  
with yo ugly ass
",Danez Smith,"Love,Relationships,Friends & Enemies,Social Commentaries,Gender & Sexuality,Race & Ethnicity"
